FID	NAME	VALUE
5	Load	253.81
5	TotalStop	4556.44
5	SCStop	0.00
5	Pwait	0.00
5	TRSErr	0.00
6	CRErr	0.00
6	BNDStop	0.00
6	Cwait	0.00
6	CnvStop	0.00
6	McRwait	2745.99
6	Prod	6172.60
6	UnitAdjust	0.00
6	CTErr	0.00
6	MHRcgStop	0.00
6	BRcg	76.46
6	OtherLStop	351.51
6	JointPassWait	0.00
6	DataEdit	0.00
6	CPErr	0.00
6	OthrStop	0.00
6	Mente	0.00
6	CMErr	0.00
6	Trbl	0.00
6	Bwait	0.00
6	FBStop	0.00
6	CDErr	0.00
6	BNDRcgStop	0.00
6	McFwait	391.70
6	BRcgStop	0.00
6	PRDStop	0.00
6	Swait	0.00
6	Rwait	3774.60
6	Actual	1315.25
6	SCEStop	0.00
6	SCStop	0.00
6	Pwait	0.00
6	TRSErr	0.00
6	Load	275.82
6	Mount	1238.79
6	TotalStop	4581.53
6	Change	48.55
6	ProdView	0.00
6	Fwait	455.43
6	PowerON	6221.15
6	Idle	0.00
6	JudgeStop	0.00
7	Fwait	460.79
7	ProdView	0.00
7	Change	117.96
7	JudgeStop	0.00
7	Idle	0.00
7	PowerON	6310.80
7	TRSErr	0.00
7	SCStop	0.00
7	Pwait	0.00
7	TotalStop	4577.01
7	Mount	1271.88
7	Load	255.03
7	Actual	1360.80
7	SCEStop	0.00
7	Rwait	3809.63
7	BRcgStop	0.00
7	BNDRcgStop	0.00
7	McFwait	391.70
7	CDErr	0.00
7	Swait	0.00
7	PRDStop	0.00
7	Bwait	0.00
7	Mente	0.00
7	CMErr	0.00
7	Trbl	0.00
7	OthrStop	0.00
7	FBStop	0.00
7	BRcg	88.92
7	JointPassWait	0.00
7	CPErr	0.00
7	DataEdit	0.00
7	OtherLStop	306.60
7	MHRcgStop	0.00
7	UnitAdjust	0.00
7	CTErr	0.00
7	Prod	6192.84
7	CnvStop	0.00
7	McRwait	2745.99
7	CRErr	0.00
7	Cwait	0.00
7	BNDStop	0.00
8	Prod	6214.30
8	CnvStop	0.00
8	McRwait	2745.99
8	MHRcgStop	0.00
8	UnitAdjust	0.00
8	CTErr	0.00
8	Cwait	0.00
8	BNDStop	0.00
8	CRErr	0.00
8	FBStop	0.00
8	OthrStop	0.00
8	Bwait	0.00
8	CMErr	0.00
8	Mente	0.00
8	Trbl	0.00
8	DataEdit	0.00
8	JointPassWait	0.00
8	CPErr	0.00
8	OtherLStop	351.52
8	BRcg	78.14
8	Rwait	3787.56
8	SCEStop	0.00
8	Actual	1336.36
8	PRDStop	0.00
8	Swait	0.00
8	BNDRcgStop	0.00
8	McFwait	391.70
8	CDErr	0.00
8	BRcgStop	0.00
8	Idle	0.00
8	JudgeStop	0.00
8	PowerON	6262.85
8	ProdView	0.00
8	Change	48.55
8	Fwait	455.43
8	Mount	1258.22
8	Load	283.43
8	TotalStop	4594.51
8	TRSErr	0.00
8	SCStop	0.00
8	Pwait	0.00
9	BRcgStop	0.00
9	CDErr	0.00
9	BNDRcgStop	0.00
9	McFwait	391.70
9	Swait	0.00
9	PRDStop	0.00
9	Actual	1380.75
9	SCEStop	0.00
9	Rwait	3821.81
9	Pwait	0.00
9	SCStop	0.00
9	TRSErr	0.00
9	TotalStop	4589.90
9	Load	263.96
9	Mount	1290.57
9	Fwait	460.79
9	Change	117.96
9	ProdView	0.00
9	PowerON	6352.57
9	Idle	0.00
9	JudgeStop	0.00
9	CRErr	0.00
9	BNDStop	0.00
9	Cwait	0.00
9	CTErr	0.00
9	UnitAdjust	0.00
9	MHRcgStop	0.00
9	CnvStop	0.00
9	McRwait	2745.99
9	Prod	6234.61
9	BRcg	90.17
9	OtherLStop	307.31
9	DataEdit	0.00
9	JointPassWait	0.00
9	CPErr	0.00
9	Trbl	0.00
9	Mente	0.00
9	CMErr	0.00
9	Bwait	0.00
9	OthrStop	0.00
9	FBStop	0.00
10	CMErr	0.00
10	Mente	0.00
10	Trbl	0.00
10	Bwait	0.00
10	OthrStop	0.00
10	FBStop	0.00
10	BRcg	79.85
10	OtherLStop	360.62
10	JointPassWait	0.00
10	CPErr	0.00
10	DataEdit	0.00
10	CTErr	0.00
10	UnitAdjust	0.00
10	MHRcgStop	0.00
10	McRwait	2745.99
10	CnvStop	0.00
10	Prod	6256.10
10	CRErr	0.00
10	BNDStop	0.00
10	Cwait	0.00
10	Fwait	455.43
10	Change	48.55
10	ProdView	0.00
10	PowerON	6304.65
10	JudgeStop	0.00
10	Idle	0.00
10	SCStop	0.00
10	Pwait	0.00
10	TRSErr	0.00
10	TotalStop	4613.48
10	Load	285.12
10	Mount	1277.65
10	SCEStop	0.00
10	Actual	1357.50
10	Rwait	3797.44
10	BRcgStop	0.00
10	CDErr	0.00
10	BNDRcgStop	0.00
10	McFwait	391.70
10	Swait	0.00
10	PRDStop	0.00
11	Rwait	3830.71
11	SCEStop	0.00
11	Actual	1400.67
11	PRDStop	0.00
11	Swait	0.00
11	CDErr	0.00
11	McFwait	391.70
11	BNDRcgStop	0.00
11	BRcgStop	0.00
11	PowerON	6394.33
11	Idle	0.00
11	JudgeStop	0.00
11	Change	117.96
11	ProdView	0.00
11	Fwait	460.79
11	Load	265.74
11	Mount	1309.18
11	TotalStop	4609.96
11	SCStop	0.00
11	Pwait	0.00
11	TRSErr	0.00
11	CnvStop	0.00
11	McRwait	2745.99
11	Prod	6276.37
11	UnitAdjust	0.00
11	CTErr	0.00
11	MHRcgStop	0.00
11	BNDStop	0.00
11	Cwait	0.00
11	CRErr	0.00
11	FBStop	0.00
11	OthrStop	0.00
11	Mente	0.00
11	Trbl	0.00
11	CMErr	0.00
11	Bwait	0.00
11	OtherLStop	318.46
11	JointPassWait	0.00
11	DataEdit	0.00
11	CPErr	0.00
11	BRcg	91.48
12	CMErr	0.00
12	Mente	0.00
12	Trbl	0.00
12	Bwait	0.00
12	OthrStop	0.00
12	FBStop	0.00
12	BRcg	81.56
12	OtherLStop	372.14
12	DataEdit	0.00
12	JointPassWait	0.00
12	CPErr	0.00
12	CTErr	0.00
12	UnitAdjust	0.00
12	MHRcgStop	0.00
12	CnvStop	0.00
12	McRwait	2745.99
12	Prod	6297.82
12	CRErr	0.00
12	BNDStop	0.00
12	Cwait	0.00
12	Fwait	455.43
12	Change	48.55
12	ProdView	0.00
12	PowerON	6346.37
12	JudgeStop	0.00
12	Idle	0.00
12	Pwait	0.00
12	SCStop	0.00
12	TRSErr	0.00
12	TotalStop	4633.24
12	Mount	1297.05
12	Load	285.98
12	SCEStop	0.00
12	Actual	1378.61
12	Rwait	3805.67
12	BRcgStop	0.00
12	CDErr	0.00
12	McFwait	391.70
12	BNDRcgStop	0.00
12	Swait	0.00
12	PRDStop	0.00
13	OthrStop	0.00
13	Bwait	0.00
13	Mente	0.00
13	Trbl	0.00
13	CMErr	0.00
13	FBStop	0.00
13	BRcg	92.86
13	CPErr	0.00
13	JointPassWait	0.00
13	DataEdit	0.00
13	OtherLStop	319.31
13	Prod	6319.14
13	CnvStop	0.00
13	McRwait	2745.99
13	MHRcgStop	0.00
13	CTErr	0.00
13	UnitAdjust	0.00
13	CRErr	0.00
13	Cwait	0.00
13	BNDStop	0.00
13	ProdView	0.00
13	Change	117.96
13	Fwait	460.79
13	JudgeStop	0.00
13	Idle	0.00
13	PowerON	6437.10
13	TRSErr	0.00
13	Pwait	0.00
13	SCStop	0.00
13	Mount	1327.33
13	Load	276.16
13	TotalStop	4622.79
13	Rwait	3842.70
13	SCEStop	0.00
13	Actual	1420.19
13	McFwait	391.70
13	BNDRcgStop	0.00
13	CDErr	0.00
13	BRcgStop	0.00
13	PRDStop	0.00
13	Swait	0.00
14	BNDStop	0.00
14	Cwait	0.00
14	CRErr	0.00
14	CnvStop	0.00
14	McRwait	2745.99
14	Prod	6340.64
14	UnitAdjust	0.00
14	CTErr	0.00
14	MHRcgStop	0.00
14	OtherLStop	382.65
14	JointPassWait	0.00
14	DataEdit	0.00
14	CPErr	0.00
14	BRcg	83.28
14	FBStop	0.00
14	OthrStop	0.00
14	Trbl	0.00
14	Mente	0.00
14	CMErr	0.00
14	Bwait	0.00
14	PRDStop	0.00
14	Swait	0.00
14	CDErr	0.00
14	McFwait	391.70
14	BNDRcgStop	0.00
14	BRcgStop	0.00
14	Rwait	3815.95
14	Actual	1399.75
14	SCEStop	0.00
14	Mount	1316.47
14	Load	286.86
14	TotalStop	4654.03
14	SCStop	0.00
14	Pwait	0.00
14	TRSErr	0.00
14	PowerON	6389.19
14	JudgeStop	0.00
14	Idle	0.00
14	Change	48.55
14	ProdView	0.00
14	Fwait	455.43
15	Load	277.76
15	Mount	1348.19
15	TotalStop	4643.04
15	SCStop	0.00
15	Pwait	0.00
15	TRSErr	0.00
15	PowerON	6481.12
15	JudgeStop	0.00
15	Idle	0.00
15	Change	117.96
15	ProdView	0.00
15	Fwait	460.79
15	PRDStop	0.00
15	Swait	0.00
15	CDErr	0.00
15	BNDRcgStop	0.00
15	McFwait	391.70
15	BRcgStop	0.00
15	Rwait	3850.63
15	Actual	1442.36
15	SCEStop	0.00
15	OtherLStop	331.63
15	JointPassWait	0.00
15	CPErr	0.00
15	DataEdit	0.00
15	BRcg	94.17
15	FBStop	0.00
15	OthrStop	0.00
15	Mente	0.00
15	CMErr	0.00
15	Trbl	0.00
15	Bwait	0.00
15	BNDStop	0.00
15	Cwait	0.00
15	CRErr	0.00
15	McRwait	2745.99
15	CnvStop	0.00
15	Prod	6363.16
15	UnitAdjust	0.00
15	CTErr	0.00
15	MHRcgStop	0.00
16	BRcgStop	0.00
16	CDErr	0.00
16	BNDRcgStop	0.00
16	McFwait	585.60
16	Swait	0.00
16	PRDStop	0.00
16	Actual	1419.21
16	SCEStop	0.00
16	Rwait	3822.15
16	SCStop	0.00
16	Pwait	0.00
16	TRSErr	0.00
16	TotalStop	4873.21
16	Load	296.52
16	Mount	1335.45
16	Fwait	668.40
16	Change	48.55
16	ProdView	0.00
16	PowerON	6637.49
16	JudgeStop	0.00
16	Idle	0.00
16	CRErr	0.00
16	BNDStop	0.00
16	Cwait	0.00
16	UnitAdjust	0.00
16	CTErr	0.00
16	MHRcgStop	0.00
16	CnvStop	0.00
16	McRwait	2745.99
16	Prod	6588.94
16	BRcg	83.76
16	OtherLStop	382.65
16	CPErr	0.00
16	JointPassWait	0.00
16	DataEdit	0.00
16	Trbl	0.00
16	Mente	0.00
16	CMErr	0.00
16	Bwait	0.00
16	OthrStop	0.00
16	FBStop	0.00
17	JudgeStop	0.00
17	Idle	0.00
17	PowerON	6727.23
17	Fwait	675.88
17	ProdView	0.00
17	Change	117.96
17	TotalStop	4861.68
17	Mount	1366.36
17	Load	286.47
17	TRSErr	0.00
17	SCStop	0.00
17	Pwait	0.00
17	Actual	1461.12
17	SCEStop	0.00
17	Rwait	3853.89
17	Swait	0.00
