FID	NAME	VALUE
20	Lane	2
21	Output	3
21	BcrStatus	0
21	LotName	RSD000NH-05
21	Code	YEP0PTD000NH|00|A|101634201614|01
21	Lane	1
21	LotNumber	1
21	Serial	297119
21	Rev	87
21	SerialStatus	0
21	Stage	1
21	ProductID	2197
21	PlanID	0
22	SerialStatus	0
22	Rev	87
22	LotNumber	1
22	Serial	297121
22	Code	YEP0PTD000NH|00|A|101634201613|01
22	Lane	2
22	ProductID	2197
22	PlanID	0
22	Stage	1
22	BcrStatus	0
22	Output	3
22	LotName	RSD000NH-05
23	Stage	1
23	ProductID	2197
23	PlanID	0
23	Lane	1
23	Code	YEP0PTD000NH|00|A|101634201612|01
23	LotNumber	1
23	Rev	87
23	Serial	297123
23	SerialStatus	0
23	LotName	RSD000NH-05
23	Output	3
23	BcrStatus	0
24	Output	3
24	BcrStatus	0
24	LotName	RSD000NH-05
24	LotNumber	1
24	Rev	87
24	Serial	297125
24	Code	YEP0PTD000NH|00|A|101634201611|01
24	Lane	2
24	SerialStatus	0
24	PlanID	0
24	ProductID	2197
24	Stage	1
25	Stage	1
25	PlanID	0
25	ProductID	2197
25	SerialStatus	0
25	Code	YEP0PTD000NH|00|A|101634201610|01
25	Lane	1
25	LotNumber	1
25	Serial	297127
25	Rev	87
25	LotName	RSD000NH-05
25	BcrStatus	0
25	Output	3
26	LotName	RSD000NH-05
26	BcrStatus	0
26	Output	3
26	Stage	1
26	PlanID	0
26	ProductID	2197
26	SerialStatus	0
26	Lane	2
26	Code	YEP0PTD000NH|00|A|101634201609|01
26	LotNumber	1
26	Rev	87
26	Serial	297129
27	Output	3
27	BcrStatus	0
27	LotName	RSD000NH-05
27	Lane	1
27	Code	YEP0PTD000NH|00|A|101634201608|01
27	LotNumber	1
27	Rev	87
27	Serial	297131
27	SerialStatus	0
27	Stage	1
27	ProductID	2197
27	PlanID	0
28	Stage	1
28	PlanID	0
28	ProductID	2197
28	SerialStatus	0
28	Lane	2
28	Code	YEP0PTD000NH|00|A|101634201607|01
28	Rev	87
28	LotNumber	1
28	Serial	297133
28	LotName	RSD000NH-05
28	BcrStatus	0
28	Output	3
29	Rev	87
29	LotNumber	1
29	Serial	297135
29	Code	YEP0PTD000NH|00|A|101634201606|01
29	Lane	1
29	SerialStatus	0
29	PlanID	0
29	ProductID	2197
29	Stage	1
29	Output	3
29	BcrStatus	0
29	LotName	RSD000NH-05
30	PlanID	0
30	ProductID	2197
30	Stage	1
30	Serial	297137
30	LotNumber	1
30	Rev	87
30	Code	YEP0PTD000NH|00|A|101634201605|01
30	Lane	2
30	SerialStatus	0
30	LotName	RSD000NH-05
30	Output	3
30	BcrStatus	0
31	Output	3
31	BcrStatus	0
31	LotName	RSD000NH-05
31	LotNumber	1
31	Serial	297139
31	Rev	87
31	Code	YEP0PTD000NH|00|A|101634201604|01
31	Lane	1
31	SerialStatus	0
31	ProductID	2197
31	PlanID	0
31	Stage	1
32	Stage	1
32	ProductID	2197
32	PlanID	0
32	SerialStatus	0
32	Lane	2
32	Code	YEP0PTD000NH|00|A|101634201603|01
32	Rev	87
32	LotNumber	1
32	Serial	297141
32	LotName	RSD000NH-05
32	BcrStatus	0
32	Output	3
33	SerialStatus	0
33	Rev	87
33	LotNumber	1
33	Serial	297143
33	Lane	1
33	Code	YEP0PTD000NH|00|A|101634201602|01
33	ProductID	2197
33	PlanID	0
33	Stage	1
33	BcrStatus	0
33	Output	3
33	LotName	RSD000NH-05
34	SerialStatus	0
34	Code	YEP0PTD000NH|00|A|101634201654|01
34	Lane	2
34	LotNumber	1
34	Serial	297145
34	Rev	87
34	Stage	1
34	PlanID	0
34	ProductID	2197
34	BcrStatus	0
34	Output	3
34	LotName	RSD000NH-05
35	Output	3
35	BcrStatus	0
35	LotName	RSD000NH-05
35	LotNumber	1
35	Serial	297147
35	Rev	87
35	Lane	1
35	Code	YEP0PTD000NH|00|A|101634201653|01
35	SerialStatus	0
35	ProductID	2197
35	PlanID	0
35	Stage	1
36	LotNumber	1
36	Rev	87
36	Serial	297149
36	Lane	2
36	Code	YEP0PTD000NH|00|A|101634201652|01
36	SerialStatus	0
36	PlanID	0
36	ProductID	2197
36	Stage	1
36	Output	3
36	BcrStatus	0
36	LotName	RSD000NH-05
37	BcrStatus	0
37	Output	3
37	LotName	RSD000NH-05
37	SerialStatus	0
37	Code	YEP0PTD000NH|00|A|101634201651|01
37	Lane	1
37	LotNumber	1
37	Serial	297151
37	Rev	87
37	Stage	1
37	ProductID	2197
37	PlanID	0
38	BcrStatus	0
38	Output	3
38	LotName	RSD000NH-05
38	SerialStatus	0
38	Rev	87
38	LotNumber	1
38	Serial	297153
38	Code	YEP0PTD000NH|00|A|101634201650|01
38	Lane	2
38	PlanID	0
38	ProductID	2197
38	Stage	1
39	SerialStatus	0
39	Lane	1
39	Code	YEP0PTD000NH|00|A|101634201649|01
39	LotNumber	1
39	Rev	87
39	Serial	297155
39	Stage	1
39	PlanID	0
39	ProductID	2197
39	BcrStatus	0
39	Output	3
39	LotName	RSD000NH-05
40	PlanID	0
40	ProductID	2197
40	Stage	1
40	SerialStatus	0
40	LotNumber	1
40	Rev	87
40	Serial	297157
40	Lane	2
40	Code	YEP0PTD000NH|00|A|101634201648|01
40	LotName	RSD000NH-05
40	BcrStatus	0
40	Output	3
41	BcrStatus	0
41	Output	3
