FNAME	FID
20161208000502200+-+01+-+1+-+1+-+297107+-+YEP0PTD000NH|00|A|101634201659|01+-+3+-++-+YEP0PTD000NH|00|A|101634201659|01.U01	15
20161208001319553+-+01+-+1+-+1+-+297135+-+YEP0PTD000NH|00|A|101634201606|01+-+3+-++-+YEP0PTD000NH|00|A|101634201606|01.U01	29
20161208000950774+-+01+-+1+-+1+-+297115+-+YEP0PTD000NH|00|A|101634201655|01+-+3+-++-+YEP0PTD000NH|00|A|101634201655|01.U01	19
20161208001422821+-+01+-+1+-+2+-+297141+-+YEP0PTD000NH|00|A|101634201603|01+-+3+-++-+YEP0PTD000NH|00|A|101634201603|01.U01	32
20161208001632623+-+01+-+1+-+2+-+297153+-+YEP0PTD000NH|00|A|101634201650|01+-+3+-++-+YEP0PTD000NH|00|A|101634201650|01.U01	38
20161208001341065+-+01+-+1+-+2+-+297137+-+YEP0PTD000NH|00|A|101634201605|01+-+3+-++-+YEP0PTD000NH|00|A|101634201605|01.U01	30
20161208013507654+-+01+-+1+-+1+-+297269+-+YEP0PTD000SH|00|A|101634201912|01+-+3+-++-+YEP0PTD000SH|00|A|101634201912|01.U01	100
20161208000315141+-+01+-+1+-+2+-+297097+-+YEP0PTD000NH|00|A|101634201687|01+-+3+-++-+YEP0PTD000NH|00|A|101634201687|01.U01	10
20161208001858264+-+01+-+1+-+1+-+297167+-+YEP0PTD000NH|00|A|101634201643|01+-+3+-++-+YEP0PTD000NH|00|A|101634201643|01.U01	45
20161208000151639+-+01+-+1+-+2+-+297089+-+YEP0PTD000NH|00|A|101634201683|01+-+3+-++-+YEP0PTD000NH|00|A|101634201683|01.U01	6
20161208002638240+-+01+-+1+-+1+-+297203+-+YEP0PTD000NH|00|A|101634201696|01+-+3+-++-+YEP0PTD000NH|00|A|101634201696|01.U01	63
20161208012334148+-+01+-+1+-+1+-+297257+-+YEP0PTD000SH|00|A|101634201882|01+-+3+-++-+YEP0PTD000SH|00|A|101634201882|01.U01	92
20161208013426139+-+01+-+1+-+1+-+297265+-+YEP0PTD000SH|00|A|101634201886|01+-+3+-++-+YEP0PTD000SH|00|A|101634201886|01.U01	98
20161208000109910+-+01+-+1+-+2+-+297085+-+YEP0PTD000NH|00|A|101634201681|01+-+3+-++-+YEP0PTD000NH|00|A|101634201681|01.U01	4
20161208001444075+-+01+-+1+-+1+-+297143+-+YEP0PTD000NH|00|A|101634201602|01+-+3+-++-+YEP0PTD000NH|00|A|101634201602|01.U01	33
20161208002351339+-+01+-+1+-+1+-+297187+-+YEP0PTD000NH|00|A|101634201633|01+-+3+-++-+YEP0PTD000NH|00|A|101634201633|01.U01	55
20161208001012314+-+01+-+1+-+2+-+297117+-+YEP0PTD000NH|00|A|101634201615|01+-+3+-++-+YEP0PTD000NH|00|A|101634201615|01.U01	20
20161208013405084+-+01+-+1+-+2+-+297263+-+YEP0PTD000SH|00|A|101634201885|01+-+3+-++-+YEP0PTD000SH|00|A|101634201885|01.U01	97
20161208002331064+-+01+-+1+-+2+-+297185+-+YEP0PTD000NH|00|A|101634201634|01+-+3+-++-+YEP0PTD000NH|00|A|101634201634|01.U01	54
20161208001505601+-+01+-+1+-+2+-+297145+-+YEP0PTD000NH|00|A|101634201654|01+-+3+-++-+YEP0PTD000NH|00|A|101634201654|01.U01	34
20161208002801832+-+01+-+1+-+1+-+297211+-+YEP0PTD000NH|00|A|101634201689|01+-+3+-++-+YEP0PTD000NH|00|A|101634201689|01.U01	67
20161208012147115+-+01+-+1+-+2+-+297247+-+YEP0PTD000SH|00|A|101634201877|01+-+3+-++-+YEP0PTD000SH|00|A|101634201877|01.U01	87
