FNAME	FID
20161208014139736+-+01+-+1+-+2+-+297307+-+YEP0PTD000SH|00|A|101634201891|01+-+3+-++-+YEP0PTD000SH|00|A|101634201891|01.U01	121
20161208015325869+-+01+-+1+-+2+-+297371+-+YEP0PTD000SH|00|A|101634201945|01+-+3+-++-+YEP0PTD000SH|00|A|101634201945|01.U01	155
20161208015224957+-+01+-+1+-+1+-+297365+-+YEP0PTD000SH|00|A|101634201942|01+-+3+-++-+YEP0PTD000SH|00|A|101634201942|01.U01	151
20161208014401392+-+01+-+1+-+2+-+297319+-+YEP0PTD000SH|00|A|101634202015|01+-+3+-++-+YEP0PTD000SH|00|A|101634202015|01.U01	127
20161208015610518+-+01+-+1+-+2+-+297387+-+YEP0PTD000SH|00|A|101634201954|01+-+3+-++-+YEP0PTD000SH|00|A|101634201954|01.U01	163
20161208014058894+-+01+-+1+-+2+-+297303+-+YEP0PTD000SH|00|A|101634201893|01+-+3+-++-+YEP0PTD000SH|00|A|101634201893|01.U01	119
20161208013713035+-+01+-+1+-+1+-+297281+-+YEP0PTD000SH|00|A|101634201906|01+-+3+-++-+YEP0PTD000SH|00|A|101634201906|01.U01	108
20161208013854285+-+01+-+1+-+2+-+297291+-+YEP0PTD000SH|00|A|101634201901|01+-+3+-++-+YEP0PTD000SH|00|A|101634201901|01.U01	113
20161208015447078+-+01+-+1+-+2+-+297379+-+YEP0PTD000SH|00|A|101634201949|01+-+3+-++-+YEP0PTD000SH|00|A|101634201949|01.U01	159
20161208014644717+-+01+-+1+-+2+-+297335+-+YEP0PTD000SH|00|A|101634202007|01+-+3+-++-+YEP0PTD000SH|00|A|101634202007|01.U01	135
20161208013834472+-+01+-+1+-+1+-+297289+-+YEP0PTD000SH|00|A|101634201902|01+-+3+-++-+YEP0PTD000SH|00|A|101634201902|01.U01	112
20161208014301282+-+01+-+1+-+2+-+297315+-+YEP0PTD000SH|00|A|101634201938|01+-+3+-++-+YEP0PTD000SH|00|A|101634201938|01.U01	125
20161208020111578+-+01+-+1+-+1+-+297409+-+YEP0PTD000SH|00|A|101634201916|01+-+3+-++-+YEP0PTD000SH|00|A|101634201916|01.U01	174
20161208015508069+-+01+-+1+-+1+-+297381+-+YEP0PTD000SH|00|A|101634201950|01+-+3+-++-+YEP0PTD000SH|00|A|101634201950|01.U01	160
20161208014544111+-+01+-+1+-+1+-+297329+-+YEP0PTD000SH|00|A|101634202010|01+-+3+-++-+YEP0PTD000SH|00|A|101634202010|01.U01	132
20161208020215936+-+01+-+1+-+2+-+297415+-+YEP0PTD000SH|00|A|101634201919|01+-+3+-++-+YEP0PTD000SH|00|A|101634201919|01.U01	177
20161208015209724+-+01+-+1+-+1+-+297365+-+YEP0PTD000SH|00|A|101634201942|01+-+5+-++-+YEP0PTD000SH|00|A|101634201942|01.U01	150
20161208020317842+-+01+-+1+-+1+-+297421+-+YEP0PTD000SH|00|A|101634201922|01+-+3+-++-+YEP0PTD000SH|00|A|101634201922|01.U01	180
20161208020338733+-+01+-+1+-+2+-+297423+-+YEP0PTD000SH|00|A|101634201923|01+-+3+-++-+YEP0PTD000SH|00|A|101634201923|01.U01	181
20161208015047328+-+01+-+1+-+1+-+297357+-+YEP0PTD000SH|00|A|101634201996|01+-+3+-++-+YEP0PTD000SH|00|A|101634201996|01.U01	146
20161208013651437+-+01+-+1+-+2+-+297279+-+YEP0PTD000SH|00|A|101634201907|01+-+3+-++-+YEP0PTD000SH|00|A|101634201907|01.U01	107
20161208015244703+-+01+-+1+-+2+-+297367+-+YEP0PTD000SH|00|A|101634201943|01+-+3+-++-+YEP0PTD000SH|00|A|101634201943|01.U01	153
20161208013915270+-+01+-+1+-+1+-+297293+-+YEP0PTD000SH|00|A|101634201900|01+-+3+-++-+YEP0PTD000SH|00|A|101634201900|01.U01	114
20161208013732789+-+01+-+1+-+2+-+297283+-+YEP0PTD000SH|00|A|101634201905|01+-+3+-++-+YEP0PTD000SH|00|A|101634201905|01.U01	109
20161208013608264+-+01+-+1+-+2+-+297275+-+YEP0PTD000SH|00|A|101634201909|01+-+3+-++-+YEP0PTD000SH|00|A|101634201909|01.U01	103
20161208013753729+-+01+-+1+-+1+-+297285+-+YEP0PTD000SH|00|A|101634201904|01+-+3+-++-+YEP0PTD000SH|00|A|101634201904|01.U01	110
20161208015631495+-+01+-+1+-+1+-+297389+-+YEP0PTD000SH|00|A|101634201955|01+-+3+-++-+YEP0PTD000SH|00|A|101634201955|01.U01	164
20161208015128092+-+01+-+1+-+1+-+297361+-+YEP0PTD000SH|00|A|101634201939|01+-+3+-++-+YEP0PTD000SH|00|A|101634201939|01.U01	148
20161208020603533+-+01+-+1+-+1+-+297437+-+YEP0PTD000SH|00|A|101634201930|01+-+3+-++-+YEP0PTD000SH|00|A|101634201930|01.U01	190
20161208014725449+-+01+-+1+-+2+-+297339+-+YEP0PTD000SH|00|A|101634202005|01+-+3+-++-+YEP0PTD000SH|00|A|101634202005|01.U01	137
20161208015406451+-+01+-+1+-+2+-+297375+-+YEP0PTD000SH|00|A|101634201947|01+-+3+-++-+YEP0PTD000SH|00|A|101634201947|01.U01	157
20161208014705627+-+01+-+1+-+1+-+297337+-+YEP0PTD000SH|00|A|101634202006|01+-+3+-++-+YEP0PTD000SH|00|A|101634202006|01.U01	136
20161208021907074+-+01+-+1+-+1+-+297499+-+YEP0PTD000SH|00|A|101634201864|01+-+3+-++-+YEP0PTD000SH|00|A|101634201864|01.U01	220
20161208030725985+-+01+-+1+-+1+-+297641+-+YEP0PTD160AF|00|A|101634202076|01+-+3+-++-+YEP0PTD160AF|00|A|101634202076|01.U01	294
20161208024552464+-+01+-+1+-+1+-+297589+-+YEP0PTD000SH|00|A|101634202059|01+-+3+-++-+YEP0PTD000SH|00|A|101634202059|01.U01	266
20161208024005196+-+01+-+1+-+2+-+297567+-+YEP0PTD000SH|00|A|101634202036|01+-+3+-++-+YEP0PTD000SH|00|A|101634202036|01.U01	255
20161208020948021+-+01+-+1+-+2+-+297459+-+YEP0PTD000SH|00|A|101634201844|01+-+3+-++-+YEP0PTD000SH|00|A|101634201844|01.U01	201
20161208022133456+-+01+-+1+-+2+-+297511+-+YEP0PTD000SH|00|A|101634201970|01+-+3+-++-+YEP0PTD000SH|00|A|101634201970|01.U01	227
20161208023617127+-+01+-+1+-+1+-+297545+-+YEP0PTD000SH|00|A|101634202048|01+-+3+-++-+YEP0PTD000SH|00|A|101634202048|01.U01	244
20161208021357106+-+01+-+1+-+1+-+297481+-+YEP0PTD000SH|00|A|101634201856|01+-+3+-++-+YEP0PTD000SH|00|A|101634201856|01.U01	212
20161208023413810+-+01+-+1+-+1+-+297533+-+YEP0PTD000SH|00|A|101634202021|01+-+3+-++-+YEP0PTD000SH|00|A|101634202021|01.U01	238
20161208025909646+-+01+-+1+-+2+-+297623+-+YEP0PTD160AF|00|A|101634202068|01+-+3+-++-+YEP0PTD160AF|00|A|101634202068|01.U01	286
20161208025832307+-+01+-+1+-+1+-+297625+-+YEP0PTD160AF|00|A|101634202062|01+-+3+-++-+YEP0PTD160AF|00|A|101634202062|01.U01	285
20161208024651710+-+01+-+1+-+2+-+297595+-+YEP0PTD000SH|00|A|101634201989|01+-+3+-++-+YEP0PTD000SH|00|A|101634201989|01.U01	269
20161208025149420+-+01+-+1+-+1+-+297621+-+YEP0PTD000SH|00|A|101634201986|01+-+3+-++-+YEP0PTD000SH|00|A|101634201986|01.U01	282
20161208024126759+-+01+-+1+-+2+-+297575+-+YEP0PTD000SH|00|A|101634202032|01+-+3+-++-+YEP0PTD000SH|00|A|101634202032|01.U01	259
20161208021234535+-+01+-+1+-+1+-+297473+-+YEP0PTD000SH|00|A|101634201852|01+-+3+-++-+YEP0PTD000SH|00|A|101634201852|01.U01	208
20161208022300299+-+01+-+1+-+1+-+297517+-+YEP0PTD000SH|00|A|101634201973|01+-+3+-++-+YEP0PTD000SH|00|A|101634201973|01.U01	230
20161208023514308+-+01+-+1+-+2+-+297539+-+YEP0PTD000SH|00|A|101634202024|01+-+3+-++-+YEP0PTD000SH|00|A|101634202024|01.U01	241
20161208023823598+-+01+-+1+-+1+-+297557+-+YEP0PTD000SH|00|A|101634202041|01+-+3+-++-+YEP0PTD000SH|00|A|101634202041|01.U01	250
20161208023843519+-+01+-+1+-+2+-+297559+-+YEP0PTD000SH|00|A|101634202040|01+-+3+-++-+YEP0PTD000SH|00|A|101634202040|01.U01	251
20161208023333028+-+01+-+1+-+1+-+297529+-+YEP0PTD000SH|00|A|101634202019|01+-+3+-++-+YEP0PTD000SH|00|A|101634202019|01.U01	236
20161208021153376+-+01+-+1+-+1+-+297469+-+YEP0PTD000SH|00|A|101634201850|01+-+3+-++-+YEP0PTD000SH|00|A|101634201850|01.U01	206
20161208025024232+-+01+-+1+-+1+-+297613+-+YEP0PTD000SH|00|A|101634201982|01+-+3+-++-+YEP0PTD000SH|00|A|101634201982|01.U01	278
20161208023738717+-+01+-+1+-+1+-+297553+-+YEP0PTD000SH|00|A|101634202044|01+-+3+-++-+YEP0PTD000SH|00|A|101634202044|01.U01	248
20161208021457470+-+01+-+1+-+2+-+297487+-+YEP0PTD000SH|00|A|101634201859|01+-+3+-++-+YEP0PTD000SH|00|A|101634201859|01.U01	215
20161208023945298+-+01+-+1+-+1+-+297565+-+YEP0PTD000SH|00|A|101634202037|01+-+3+-++-+YEP0PTD000SH|00|A|101634202037|01.U01	254
20161208024939330+-+01+-+1+-+1+-+297609+-+YEP0PTD000SH|00|A|101634201978|01+-+3+-++-+YEP0PTD000SH|00|A|101634201978|01.U01	276
20161208021928147+-+01+-+1+-+2+-+297497+-+YEP0PTD000SH|00|A|101634201964|01+-+3+-++-+YEP0PTD000SH|00|A|101634201964|01.U01	221
20161208025045346+-+01+-+1+-+2+-+297615+-+YEP0PTD000SH|00|A|101634201983|01+-+3+-++-+YEP0PTD000SH|00|A|101634201983|01.U01	279
20161208022341078+-+01+-+1+-+1+-+297521+-+YEP0PTD000SH|00|A|101634201975|01+-+3+-++-+YEP0PTD000SH|00|A|101634201975|01.U01	232
20161208030855378+-+01+-+1+-+1+-+297649+-+YEP0PTD160AF|00|A|101634202081|01+-+3+-++-+YEP0PTD160AF|00|A|101634202081|01.U01	299
20161208030810090+-+01+-+1+-+1+-+297645+-+YEP0PTD160AF|00|A|101634202078|01+-+3+-++-+YEP0PTD160AF|00|A|101634202078|01.U01	296
20161208021601633+-+01+-+1+-+1+-+297493+-+YEP0PTD000SH|00|A|101634201862|01+-+3+-++-+YEP0PTD000SH|00|A|101634201862|01.U01	218
20161208024712472+-+01+-+1+-+1+-+297597+-+YEP0PTD000SH|00|A|101634201990|01+-+3+-++-+YEP0PTD000SH|00|A|101634201990|01.U01	270
20161208021520520+-+01+-+1+-+1+-+297489+-+YEP0PTD000SH|00|A|101634201860|01+-+3+-++-+YEP0PTD000SH|00|A|101634201860|01.U01	216
20161208024732337+-+01+-+1+-+2+-+297599+-+YEP0PTD000SH|00|A|101634201991|01+-+3+-++-+YEP0PTD000SH|00|A|101634201991|01.U01	271
20161208024207610+-+01+-+1+-+2+-+297579+-+YEP0PTD000SH|00|A|101634202030|01+-+3+-++-+YEP0PTD000SH|00|A|101634202030|01.U01	261
20161208024045986+-+01+-+1+-+2+-+297571+-+YEP0PTD000SH|00|A|101634202034|01+-+3+-++-+YEP0PTD000SH|00|A|101634202034|01.U01	257
20161208024631983+-+01+-+1+-+1+-+297593+-+YEP0PTD000SH|00|A|101634201988|01+-+3+-++-+YEP0PTD000SH|00|A|101634201988|01.U01	268
20161208030900296+-+01+-+1+-+2+-+297651+-+YEP0PTD160AF|00|A|101634202082|01+-+5+-++-+YEP0PTD160AF|00|A|101634202082|01.U01	300
20161208021437627+-+01+-+1+-+1+-+297485+-+YEP0PTD000SH|00|A|101634201858|01+-+3+-++-+YEP0PTD000SH|00|A|101634201858|01.U01	214
20161208025106829+-+01+-+1+-+1+-+297617+-+YEP0PTD000SH|00|A|101634201984|01+-+3+-++-+YEP0PTD000SH|00|A|101634201984|01.U01	280
20161208023535320+-+01+-+1+-+1+-+297541+-+YEP0PTD000SH|00|A|101634202025|01+-+3+-++-+YEP0PTD000SH|00|A|101634202025|01.U01	242
20161208021416646+-+01+-+1+-+2+-+297483+-+YEP0PTD000SH|00|A|101634201857|01+-+3+-++-+YEP0PTD000SH|00|A|101634201857|01.U01	213
20161208024026136+-+01+-+1+-+1+-+297569+-+YEP0PTD000SH|00|A|101634202035|01+-+3+-++-+YEP0PTD000SH|00|A|101634202035|01.U01	256
20161208025623926+-+01+-+1+-+2+-+0+-++-+13+-++-+0.U01	283
20161208023556114+-+01+-+1+-+2+-+297543+-+YEP0PTD000SH|00|A|101634202026|01+-+3+-++-+YEP0PTD000SH|00|A|101634202026|01.U01	243
20161208024330121+-+01+-+1+-+2+-+297587+-+YEP0PTD000SH|00|A|101634202058|01+-+3+-++-+YEP0PTD000SH|00|A|101634202058|01.U01	265
20161208025643237+-+01+-+1+-+1+-+0+-++-+13+-++-+0.U01	284
20161208030831649+-+01+-+1+-+2+-+297647+-+YEP0PTD160AF|00|A|101634202080|01+-+3+-++-+YEP0PTD160AF|00|A|101634202080|01.U01	297
20161208023924243+-+01+-+1+-+2+-+297563+-+YEP0PTD000SH|00|A|101634202038|01+-+3+-++-+YEP0PTD000SH|00|A|101634202038|01.U01	253
20161208021316193+-+01+-+1+-+1+-+297477+-+YEP0PTD000SH|00|A|101634201854|01+-+3+-++-+YEP0PTD000SH|00|A|101634201854|01.U01	210
20161208021009177+-+01+-+1+-+1+-+297461+-+YEP0PTD000SH|00|A|101634201845|01+-+3+-++-+YEP0PTD000SH|00|A|101634201845|01.U01	202
20161208030559307+-+01+-+1+-+1+-+297633+-+YEP0PTD160AF|00|A|101634202072|01+-+3+-++-+YEP0PTD160AF|00|A|101634202072|01.U01	290
20161208024249368+-+01+-+1+-+2+-+297583+-+YEP0PTD000SH|00|A|101634202028|01+-+3+-++-+YEP0PTD000SH|00|A|101634202028|01.U01	263
20161208023312106+-+01+-+1+-+2+-+297527+-+YEP0PTD000SH|00|A|101634202018|01+-+3+-++-+YEP0PTD000SH|00|A|101634202018|01.U01	235
20161208023433617+-+01+-+1+-+2+-+297535+-+YEP0PTD000SH|00|A|101634202022|01+-+3+-++-+YEP0PTD000SH|00|A|101634202022|01.U01	239
20161208021540423+-+01+-+1+-+2+-+297491+-+YEP0PTD000SH|00|A|101634201861|01+-+3+-++-+YEP0PTD000SH|00|A|101634201861|01.U01	217
20161208024106898+-+01+-+1+-+1+-+297573+-+YEP0PTD000SH|00|A|101634202033|01+-+3+-++-+YEP0PTD000SH|00|A|101634202033|01.U01	258
20161208024753247+-+01+-+1+-+1+-+297601+-+YEP0PTD000SH|00|A|101634201992|01+-+3+-++-+YEP0PTD000SH|00|A|101634201992|01.U01	272
20161208030513727+-+01+-+1+-+1+-+297629+-+YEP0PTD160AF|00|A|101634202070|01+-+3+-++-+YEP0PTD160AF|00|A|101634202070|01.U01	288
20161208024853816+-+01+-+1+-+2+-+297607+-+YEP0PTD000SH|00|A|101634201977|01+-+3+-++-+YEP0PTD000SH|00|A|101634201977|01.U01	275
20161208023904326+-+01+-+1+-+1+-+297561+-+YEP0PTD000SH|00|A|101634202039|01+-+3+-++-+YEP0PTD000SH|00|A|101634202039|01.U01	252
20161208023717760+-+01+-+1+-+2+-+297551+-+YEP0PTD000SH|00|A|101634202045|01+-+3+-++-+YEP0PTD000SH|00|A|101634202045|01.U01	247
20161208023454542+-+01+-+1+-+1+-+297537+-+YEP0PTD000SH|00|A|101634202023|01+-+3+-++-+YEP0PTD000SH|00|A|101634202023|01.U01	240
20161208030747423+-+01+-+1+-+2+-+297643+-+YEP0PTD160AF|00|A|101634202077|01+-+3+-++-+YEP0PTD160AF|00|A|101634202077|01.U01	295
20161208024833976+-+01+-+1+-+1+-+297605+-+YEP0PTD000SH|00|A|101634201994|01+-+3+-++-+YEP0PTD000SH|00|A|101634201994|01.U01	274
20161208030846618+-+01+-+1+-+1+-+297649+-+YEP0PTD160AF|00|A|101634202081|01+-+5+-++-+YEP0PTD160AF|00|A|101634202081|01.U01	298
20161208022113176+-+01+-+1+-+1+-+297509+-+YEP0PTD000SH|00|A|101634201969|01+-+3+-++-+YEP0PTD000SH|00|A|101634201969|01.U01	226
20161208030450784+-+01+-+1+-+2+-+297627+-+YEP0PTD160AF|00|A|101634202069|01+-+3+-++-+YEP0PTD160AF|00|A|101634202069|01.U01	287
20161208030704119+-+01+-+1+-+2+-+297639+-+YEP0PTD160AF|00|A|101634202075|01+-+3+-++-+YEP0PTD160AF|00|A|101634202075|01.U01	293
20161208023352807+-+01+-+1+-+2+-+297531+-+YEP0PTD000SH|00|A|101634202020|01+-+3+-++-+YEP0PTD000SH|00|A|101634202020|01.U01	237
20161208023636904+-+01+-+1+-+2+-+297547+-+YEP0PTD000SH|00|A|101634202047|01+-+3+-++-+YEP0PTD000SH|00|A|101634202047|01.U01	245
20161208024612217+-+01+-+1+-+2+-+297591+-+YEP0PTD000SH|00|A|101634201987|01+-+3+-++-+YEP0PTD000SH|00|A|101634201987|01.U01	267
20161208030535195+-+01+-+1+-+2+-+297631+-+YEP0PTD160AF|00|A|101634202071|01+-+3+-++-+YEP0PTD160AF|00|A|101634202071|01.U01	289
20161208021949121+-+01+-+1+-+1+-+297501+-+YEP0PTD000SH|00|A|101634201967|01+-+3+-++-+YEP0PTD000SH|00|A|101634201967|01.U01	222
20161208024147747+-+01+-+1+-+1+-+297577+-+YEP0PTD000SH|00|A|101634202031|01+-+3+-++-+YEP0PTD000SH|00|A|101634202031|01.U01	260
20161208021336081+-+01+-+1+-+2+-+297479+-+YEP0PTD000SH|00|A|101634201855|01+-+3+-++-+YEP0PTD000SH|00|A|101634201855|01.U01	211
20161208022052184+-+01+-+1+-+2+-+297507+-+YEP0PTD000SH|00|A|101634201966|01+-+3+-++-+YEP0PTD000SH|00|A|101634201966|01.U01	225
20161208025128118+-+01+-+1+-+2+-+297619+-+YEP0PTD000SH|00|A|101634201985|01+-+3+-++-+YEP0PTD000SH|00|A|101634201985|01.U01	281
20161208021030140+-+01+-+1+-+2+-+297463+-+YEP0PTD000SH|00|A|101634201846|01+-+3+-++-+YEP0PTD000SH|00|A|101634201846|01.U01	203
20161208021050965+-+01+-+1+-+1+-+297465+-+YEP0PTD000SH|00|A|101634201848|01+-+3+-++-+YEP0PTD000SH|00|A|101634201848|01.U01	204
20161208024228527+-+01+-+1+-+1+-+297581+-+YEP0PTD000SH|00|A|101634202029|01+-+3+-++-+YEP0PTD000SH|00|A|101634202029|01.U01	262
20161208024310261+-+01+-+1+-+1+-+297585+-+YEP0PTD000SH|00|A|101634202027|01+-+3+-++-+YEP0PTD000SH|00|A|101634202027|01.U01	264
20161208024813060+-+01+-+1+-+2+-+297603+-+YEP0PTD000SH|00|A|101634201993|01+-+3+-++-+YEP0PTD000SH|00|A|101634201993|01.U01	273
20161208030620734+-+01+-+1+-+2+-+297635+-+YEP0PTD160AF|00|A|101634202073|01+-+3+-++-+YEP0PTD160AF|00|A|101634202073|01.U01	291
20161208025003084+-+01+-+1+-+2+-+297611+-+YEP0PTD000SH|00|A|101634201980|01+-+3+-++-+YEP0PTD000SH|00|A|101634201980|01.U01	277
20161208022238946+-+01+-+1+-+2+-+297515+-+YEP0PTD000SH|00|A|101634201972|01+-+3+-++-+YEP0PTD000SH|00|A|101634201972|01.U01	229
20161208022010761+-+01+-+1+-+2+-+297503+-+YEP0PTD000SH|00|A|101634201965|01+-+3+-++-+YEP0PTD000SH|00|A|101634201965|01.U01	223
20161208023252384+-+01+-+1+-+1+-+297525+-+YEP0PTD000SH|00|A|101634202017|01+-+3+-++-+YEP0PTD000SH|00|A|101634202017|01.U01	234
20161208022031786+-+01+-+1+-+1+-+297505+-+YEP0PTD000SH|00|A|101634201968|01+-+3+-++-+YEP0PTD000SH|00|A|101634201968|01.U01	224
20161208021110742+-+01+-+1+-+2+-+297467+-+YEP0PTD000SH|00|A|101634201849|01+-+3+-++-+YEP0PTD000SH|00|A|101634201849|01.U01	205
20161208023758419+-+01+-+1+-+2+-+297555+-+YEP0PTD000SH|00|A|101634202043|01+-+3+-++-+YEP0PTD000SH|00|A|101634202043|01.U01	249
20161208021254378+-+01+-+1+-+2+-+297475+-+YEP0PTD000SH|00|A|101634201853|01+-+3+-++-+YEP0PTD000SH|00|A|101634201853|01.U01	209
20161208021621417+-+01+-+1+-+2+-+297495+-+YEP0PTD000SH|00|A|101634201863|01+-+3+-++-+YEP0PTD000SH|00|A|101634201863|01.U01	219
20161208023657943+-+01+-+1+-+1+-+297549+-+YEP0PTD000SH|00|A|101634202046|01+-+3+-++-+YEP0PTD000SH|00|A|101634202046|01.U01	246
20161208021213113+-+01+-+1+-+2+-+297471+-+YEP0PTD000SH|00|A|101634201851|01+-+3+-++-+YEP0PTD000SH|00|A|101634201851|01.U01	207
20161208022320112+-+01+-+1+-+2+-+297519+-+YEP0PTD000SH|00|A|101634201974|01+-+3+-++-+YEP0PTD000SH|00|A|101634201974|01.U01	231
20161208022154254+-+01+-+1+-+1+-+297513+-+YEP0PTD000SH|00|A|101634201971|01+-+3+-++-+YEP0PTD000SH|00|A|101634201971|01.U01	228
20161208030642735+-+01+-+1+-+1+-+297637+-+YEP0PTD160AF|00|A|101634202074|01+-+3+-++-+YEP0PTD160AF|00|A|101634202074|01.U01	292
20161208022400943+-+01+-+1+-+2+-+297523+-+YEP0PTD000SH|00|A|101634202016|01+-+3+-++-+YEP0PTD000SH|00|A|101634202016|01.U01	233
20161208032656285+-+01+-+1+-+2+-+297725+-+YEP0PTD160AF|00|A|101634202144|01+-+3+-++-+YEP0PTD160AF|00|A|101634202144|01.U01	340
20161208032906093+-+01+-+1+-+2+-+297737+-+YEP0PTD160AF|00|A|101634202150|01+-+3+-++-+YEP0PTD160AF|00|A|101634202150|01.U01	346
20161208035405832+-+01+-+1+-+2+-+297845+-+YEP0PTD160AF|00|A|101634202185|01+-+3+-++-+YEP0PTD160AF|00|A|101634202185|01.U01	400
20161208034810389+-+01+-+1+-+2+-+297817+-+YEP0PTD160AF|00|A|101634202167|01+-+3+-++-+YEP0PTD160AF|00|A|101634202167|01.U01	386
20161208035341250+-+01+-+1+-+1+-+297843+-+YEP0PTD160AF|00|A|101634202184|01+-+3+-++-+YEP0PTD160AF|00|A|101634202184|01.U01	399
20161208034301947+-+01+-+1+-+2+-+297789+-+YEP0PTD160AF|00|A|101634202122|01+-+3+-++-+YEP0PTD160AF|00|A|101634202122|01.U01	372
20161208031427797+-+01+-+1+-+2+-+297679+-+YEP0PTD160AF|00|A|101634202106|01+-+3+-++-+YEP0PTD160AF|00|A|101634202106|01.U01	317
20161208034408706+-+01+-+1+-+1+-+297795+-+YEP0PTD160AF|00|A|101634202118|01+-+3+-++-+YEP0PTD160AF|00|A|101634202118|01.U01	375
20161208034055739+-+01+-+1+-+2+-+297781+-+YEP0PTD160AF|00|A|101634202126|01+-+3+-++-+YEP0PTD160AF|00|A|101634202126|01.U01	368
20161208032406104+-+01+-+1+-+1+-+297715+-+YEP0PTD160AF|00|A|101634202087|01+-+3+-++-+YEP0PTD160AF|00|A|101634202087|01.U01	335
20161208035213430+-+01+-+1+-+1+-+297839+-+YEP0PTD160AF|00|A|101634202181|01+-+3+-++-+YEP0PTD160AF|00|A|101634202181|01.U01	397
20161208034140228+-+01+-+1+-+2+-+297785+-+YEP0PTD160AF|00|A|101634202124|01+-+3+-++-+YEP0PTD160AF|00|A|101634202124|01.U01	370
20161208031000110+-+01+-+1+-+2+-+297655+-+YEP0PTD160AF|00|A|101634202084|01+-+3+-++-+YEP0PTD160AF|00|A|101634202084|01.U01	303
20161208031105803+-+01+-+1+-+1+-+297661+-+YEP0PTD160AF|00|A|101634202067|01+-+3+-++-+YEP0PTD160AF|00|A|101634202067|01.U01	306
20161208033805130+-+01+-+1+-+1+-+297767+-+YEP0PTD160AF|00|A|101634202136|01+-+3+-++-+YEP0PTD160AF|00|A|101634202136|01.U01	361
20161208034034297+-+01+-+1+-+1+-+297779+-+YEP0PTD160AF|00|A|101634202127|01+-+3+-++-+YEP0PTD160AF|00|A|101634202127|01.U01	367
20161208032801353+-+01+-+1+-+1+-+297731+-+YEP0PTD160AF|00|A|101634202147|01+-+3+-++-+YEP0PTD160AF|00|A|101634202147|01.U01	343
20161208035129615+-+01+-+1+-+1+-+297835+-+YEP0PTD160AF|00|A|101634202178|01+-+3+-++-+YEP0PTD160AF|00|A|101634202178|01.U01	395
20161208032005245+-+01+-+1+-+2+-+297693+-+YEP0PTD160AF|00|A|101634202099|01+-+3+-++-+YEP0PTD160AF|00|A|101634202099|01.U01	324
20161208035024556+-+01+-+1+-+2+-+297829+-+YEP0PTD160AF|00|A|101634202175|01+-+3+-++-+YEP0PTD160AF|00|A|101634202175|01.U01	392
20161208034941430+-+01+-+1+-+2+-+297825+-+YEP0PTD160AF|00|A|101634202173|01+-+3+-++-+YEP0PTD160AF|00|A|101634202173|01.U01	390
20161208032739488+-+01+-+1+-+2+-+297729+-+YEP0PTD160AF|00|A|101634202146|01+-+3+-++-+YEP0PTD160AF|00|A|101634202146|01.U01	342
20161208033659746+-+01+-+1+-+2+-+297761+-+YEP0PTD160AF|00|A|101634202162|01+-+3+-++-+YEP0PTD160AF|00|A|101634202162|01.U01	358
20161208035046248+-+01+-+1+-+1+-+297831+-+YEP0PTD160AF|00|A|101634202176|01+-+3+-++-+YEP0PTD160AF|00|A|101634202176|01.U01	393
20161208032718074+-+01+-+1+-+1+-+297727+-+YEP0PTD160AF|00|A|101634202145|01+-+3+-++-+YEP0PTD160AF|00|A|101634202145|01.U01	341
20161208035151435+-+01+-+1+-+2+-+297837+-+YEP0PTD160AF|00|A|101634202179|01+-+3+-++-+YEP0PTD160AF|00|A|101634202179|01.U01	396
20161208032844600+-+01+-+1+-+1+-+297735+-+YEP0PTD160AF|00|A|101634202149|01+-+3+-++-+YEP0PTD160AF|00|A|101634202149|01.U01	345
20161208035003230+-+01+-+1+-+1+-+297827+-+YEP0PTD160AF|00|A|101634202174|01+-+3+-++-+YEP0PTD160AF|00|A|101634202174|01.U01	391
20161208033907806+-+01+-+1+-+1+-+297771+-+YEP0PTD160AF|00|A|101634202131|01+-+3+-++-+YEP0PTD160AF|00|A|101634202131|01.U01	363
20161208031043559+-+01+-+1+-+2+-+297659+-+YEP0PTD160AF|00|A|101634202086|01+-+3+-++-+YEP0PTD160AF|00|A|101634202086|01.U01	305
20161208033406597+-+01+-+1+-+2+-+297745+-+YEP0PTD160AF|00|A|101634202154|01+-+3+-++-+YEP0PTD160AF|00|A|101634202154|01.U01	350
20161208032110086+-+01+-+1+-+1+-+297699+-+YEP0PTD160AF|00|A|101634202095|01+-+3+-++-+YEP0PTD160AF|00|A|101634202095|01.U01	327
20161208034118790+-+01+-+1+-+1+-+297783+-+YEP0PTD160AF|00|A|101634202125|01+-+3+-++-+YEP0PTD160AF|00|A|101634202125|01.U01	369
20161208031449547+-+01+-+1+-+1+-+297681+-+YEP0PTD160AF|00|A|101634202105|01+-+3+-++-+YEP0PTD160AF|00|A|101634202105|01.U01	318
20161208031213782+-+01+-+1+-+2+-+297667+-+YEP0PTD160AF|00|A|101634202064|01+-+3+-++-+YEP0PTD160AF|00|A|101634202064|01.U01	309
20161208034559945+-+01+-+1+-+2+-+297805+-+YEP0PTD160AF|00|A|101634202113|01+-+3+-++-+YEP0PTD160AF|00|A|101634202113|01.U01	380
20161208035107730+-+01+-+1+-+2+-+297833+-+YEP0PTD160AF|00|A|101634202177|01+-+3+-++-+YEP0PTD160AF|00|A|101634202177|01.U01	394
