FID	NAME	VALUE
7	Bwait	0
7	TMount	12240
7	FBStop	0
7	TRSMiss	0
7	OtherLStop	56
7	JointPassWait	0
7	CPErr	0
7	Module	68
7	CnvStop	0
7	McRwait	40
7	CTErr	0
7	LotBoard	68
7	MHRcgStop	0
7	CRErr	0
7	BNDStop	0
7	Board	68
7	Cwait	0
7	Fwait	4
7	JudgeStop	0
7	Pwait	0
7	SCStop	0
7	TDispense	0
7	TRSErr	0
7	THMiss	3
7	TPMiss	4
7	TRMiss	2
7	Rwait	83
7	SCEStop	0
7	CDErr	0
7	McFwait	4
7	BNDRcgStop	0
7	TPriming	0
7	LotModule	68
7	BRcgStop	0
7	TPickup	12249
7	TDMiss	0
7	Swait	0
8	JudgeStop	0
8	Fwait	4
8	TPMiss	5
8	TRSErr	0
8	TDispense	0
8	THMiss	0
8	SCStop	0
8	Pwait	0
8	Rwait	97
8	SCEStop	0
8	TRMiss	2
8	TPickup	12247
8	Swait	0
8	TDMiss	0
8	BNDRcgStop	0
8	McFwait	4
8	CDErr	0
8	BRcgStop	0
8	LotModule	68
8	TPriming	0
8	TMount	12240
8	FBStop	0
8	TMMiss	0
8	OthrStop	0
8	Bwait	0
8	Trbl	0
8	CMErr	0
8	TRSMiss	0
8	JointPassWait	0
8	CPErr	0
8	OtherLStop	52
8	CnvStop	0
8	McRwait	40
8	MHRcgStop	0
8	LotBoard	68
8	CTErr	0
8	Module	68
8	Cwait	0
8	BNDStop	0
8	Board	68
8	CRErr	0
9	CPErr	0
9	JointPassWait	0
9	OtherLStop	57
9	TRSMiss	0
9	FBStop	0
9	TMount	12420
9	Bwait	0
9	Trbl	0
9	CMErr	0
9	OthrStop	0
9	TMMiss	0
9	Cwait	0
9	Board	69
9	BNDStop	0
9	CRErr	0
9	LotBoard	69
9	MHRcgStop	0
9	CTErr	0
9	CnvStop	0
9	McRwait	40
9	Module	69
9	TPMiss	4
9	TRSErr	0
9	TDispense	0
9	THMiss	3
9	Pwait	0
9	SCStop	0
9	JudgeStop	0
9	Fwait	4
9	Swait	0
9	TDMiss	0
9	TPickup	12429
9	BRcgStop	0
9	TPriming	0
9	LotModule	69
9	McFwait	4
9	BNDRcgStop	0
9	CDErr	0
9	SCEStop	0
9	Rwait	84
9	TRMiss	2
10	LotModule	69
10	TPriming	0
10	BRcgStop	0
10	CDErr	0
10	McFwait	4
10	BNDRcgStop	0
10	TDMiss	0
10	Swait	0
10	TPickup	12427
10	TRMiss	2
10	SCEStop	0
10	Rwait	99
10	SCStop	0
10	Pwait	0
10	TDispense	0
10	TRSErr	0
10	THMiss	0
10	TPMiss	5
10	Fwait	4
10	JudgeStop	0
10	CRErr	0
10	Board	69
10	BNDStop	0
10	Cwait	0
10	Module	69
10	CTErr	0
10	MHRcgStop	0
10	LotBoard	69
10	CnvStop	0
10	McRwait	40
10	OtherLStop	53
10	CPErr	0
10	JointPassWait	0
10	TRSMiss	0
10	Trbl	0
10	CMErr	0
10	Bwait	0
10	TMMiss	0
10	OthrStop	0
10	FBStop	0
10	TMount	12420
11	TMMiss	0
11	OthrStop	0
11	CMErr	0
11	Trbl	0
11	Bwait	0
11	TMount	12600
11	FBStop	0
11	TRSMiss	0
11	OtherLStop	58
11	CPErr	0
11	JointPassWait	0
11	Module	70
11	CnvStop	0
11	McRwait	40
11	CTErr	0
11	LotBoard	70
11	MHRcgStop	0
11	CRErr	0
11	BNDStop	0
11	Board	70
11	Cwait	0
11	Fwait	4
11	JudgeStop	0
11	SCStop	0
11	Pwait	0
11	TDispense	0
11	THMiss	3
11	TRSErr	0
11	TPMiss	4
11	TRMiss	2
11	Rwait	86
11	SCEStop	0
11	CDErr	0
11	McFwait	4
11	BNDRcgStop	0
11	LotModule	70
11	TPriming	0
11	BRcgStop	0
11	TPickup	12609
11	TDMiss	0
11	Swait	0
12	FBStop	0
12	TMount	12600
12	Trbl	0
12	CMErr	0
12	Bwait	0
12	TMMiss	0
12	OthrStop	0
