CMS2-A1 2016/01/22 10:41:10 0 1 1
CMS2-A1 2016/01/22 10:41:11 0 0 1
CMS2-A1 2016/01/22 10:42:02 0 1 2
CMS2-A1 2016/01/22 10:42:04 0 0 2
CMS2-A1 2016/01/22 10:42:49 0 1 1
CMS2-A1 2016/01/22 10:42:54 0 0 1
CMS2-A1 2016/01/22 10:43:41 0 1 2
CMS2-A1 2016/01/22 10:43:56 0 0 2
CMS2-A1 2016/01/22 10:44:28 0 1 1
CMS2-A1 2016/01/22 10:44:47 0 0 1
CMS2-A1 2016/01/22 10:45:20 0 1 2
CMS2-A1 2016/01/22 10:45:40 0 0 2
CMS2-A1 2016/01/22 10:46:06 0 1 1
CMS2-A1 2016/01/22 10:46:31 0 0 1
CMS2-A1 2016/01/22 10:47:07 0 1 2
CMS2-A1 2016/01/22 10:47:24 0 0 2
CMS2-A1 2016/01/22 10:47:54 0 1 1
CMS2-A1 2016/01/22 10:48:17 0 0 1
CMS2-A1 2016/01/22 10:48:46 0 1 2
CMS2-A1 2016/01/22 10:49:10 0 0 2
CMS2-A1 2016/01/22 10:49:33 0 1 1
CMS2-A1 2016/01/22 10:50:01 0 0 1
CMS2-A1 2016/01/22 10:50:24 0 1 2
CMS2-A1 2016/01/22 10:50:54 0 0 2
CMS2-A1 2016/01/22 10:51:10 0 1 1
CMS2-A1 2016/01/22 10:51:46 0 0 1
CMS2-A1 2016/01/22 10:52:02 0 1 2
CMS2-A1 2016/01/22 10:52:39 0 0 2
CMS2-A1 2016/01/22 10:52:48 0 1 1
CMS2-A1 2016/01/22 10:53:31 0 0 1
CMS2-A1 2016/01/22 10:53:39 0 1 2
CMS2-A1 2016/01/22 10:54:25 0 1 1
CMS2-A1 2016/01/22 10:54:34 0 0 2
CMS2-A1 2016/01/22 10:55:24 0 0 1
CMS2-A1 2016/01/22 10:55:28 0 1 2
CMS2-A1 2016/01/22 10:56:16 0 1 1
CMS2-A1 2016/01/22 10:56:17 0 0 2
CMS2-A1 2016/01/22 10:57:10 0 0 1
CMS2-A1 2016/01/22 10:57:18 0 1 2
CMS2-A1 2016/01/22 10:58:04 0 0 2
CMS2-A1 2016/01/22 10:58:04 0 1 1
CMS2-A1 2016/01/22 13:40:27 0 1 1
CMS2-A1 2016/01/22 13:40:28 0 0 1
CMS2-A1 2016/01/22 13:41:34 0 0 1
CMS2-A1 2016/01/22 13:41:34 0 1 2
CMS2-A1 2016/01/22 13:42:14 0 1 1
CMS2-A1 2016/01/22 13:42:14 0 0 2
CMS2-A1 2016/01/22 13:42:52 0 0 1
CMS2-A1 2016/01/22 13:42:56 0 1 2
CMS2-A1 2016/01/22 13:43:30 0 1 1
CMS2-A1 2016/01/22 13:43:31 0 0 2
CMS2-A1 2016/01/22 13:44:09 0 0 1
CMS2-A1 2016/01/22 13:44:13 0 1 2
CMS2-A1 2016/01/22 13:44:48 0 0 2
CMS2-A1 2016/01/22 13:44:48 0 1 1
CMS2-A1 2016/01/22 13:45:25 0 0 1
CMS2-A1 2016/01/22 13:46:07 0 1 2
CMS2-A1 2016/01/22 13:46:09 0 0 2
CMS2-A1 2016/01/22 13:47:59 0 1 1
CMS2-A1 2016/01/22 13:48:01 0 0 1
CMS2-A1 2016/01/22 13:48:47 0 1 2
CMS2-A1 2016/01/22 13:48:48 0 0 2
CMS2-A1 2016/01/22 13:49:22 0 1 1
CMS2-A1 2016/01/22 13:49:25 0 0 1
CMS2-A1 2016/01/22 13:50:01 0 1 2
CMS2-A1 2016/01/22 13:50:03 0 0 2
CMS2-A1 2016/01/22 13:50:38 0 1 1
CMS2-A1 2016/01/22 13:50:40 0 0 1
CMS2-A1 2016/01/22 13:51:16 0 1 2
CMS2-A1 2016/01/22 13:51:18 0 0 2
CMS2-A1 2016/01/22 13:51:52 0 1 1
CMS2-A1 2016/01/22 13:51:54 0 0 1
CMS2-A1 2016/01/22 13:52:30 0 1 2
CMS2-A1 2016/01/22 13:52:33 0 0 2
CMS2-A1 2016/01/22 13:53:07 0 1 1
CMS2-A1 2016/01/22 13:53:09 0 0 1
CMS2-A1 2016/01/22 13:53:45 0 1 2
CMS2-A1 2016/01/22 13:53:48 0 0 2
CMS2-A1 2016/01/22 13:54:21 0 1 1
CMS2-A1 2016/01/22 13:54:24 0 0 1
CMS2-A1 2016/01/22 13:54:59 0 1 2
CMS2-A1 2016/01/22 13:55:03 0 0 2
CMS2-A1 2016/01/22 13:55:34 0 1 1
CMS2-A1 2016/01/22 13:55:40 0 0 1
CMS2-A2 2016/01/22 09:19:18 0 1 2
CMS2-A2 2016/01/22 09:19:27 0 0 2
CMS2-A2 2016/01/22 09:20:04 0 1 1
CMS2-A2 2016/01/22 09:20:22 0 0 1
CMS2-A2 2016/01/22 09:20:44 0 1 2
CMS2-A2 2016/01/22 09:21:11 0 0 2
CMS2-A2 2016/01/22 09:21:33 0 1 1
CMS2-A2 2016/01/22 09:21:56 0 0 1
CMS2-A2 2016/01/22 09:22:28 0 1 2
CMS2-A2 2016/01/22 09:22:46 0 0 2
CMS2-A2 2016/01/22 09:23:15 0 1 1
CMS2-A2 2016/01/22 09:27:57 0 0 1
CMS2-A2 2016/01/22 09:28:34 0 1 2
CMS2-A2 2016/01/22 09:29:08 0 0 2
CMS2-A2 2016/01/22 09:29:21 0 1 1
