CMS2-A1 20160122105710 0 0 1
CMS2-A1 20160122105718 0 1 2
CMS2-A1 20160122105804 0 0 2
CMS2-A1 20160122105804 0 1 1
CMS2-A1 20160122134027 0 1 1
CMS2-A1 20160122134028 0 0 1
CMS2-A1 20160122134134 0 0 1
CMS2-A1 20160122134134 0 1 2
CMS2-A1 20160122134214 0 1 1
CMS2-A1 20160122134214 0 0 2
CMS2-A1 20160122134252 0 0 1
CMS2-A1 20160122134256 0 1 2
CMS2-A1 20160122134330 0 1 1
CMS2-A1 20160122134331 0 0 2
CMS2-A1 20160122134409 0 0 1
CMS2-A1 20160122134413 0 1 2
CMS2-A1 20160122134448 0 0 2
CMS2-A1 20160122134448 0 1 1
CMS2-A1 20160122134525 0 0 1
CMS2-A1 20160122134607 0 1 2
CMS2-A1 20160122134609 0 0 2
CMS2-A1 20160122134759 0 1 1
CMS2-A1 20160122134801 0 0 1
CMS2-A1 20160122134847 0 1 2
CMS2-A1 20160122134848 0 0 2
CMS2-A1 20160122134922 0 1 1
CMS2-A1 20160122134925 0 0 1
CMS2-A1 20160122135001 0 1 2
CMS2-A1 20160122135003 0 0 2
CMS2-A1 20160122135038 0 1 1
CMS2-A1 20160122135040 0 0 1
CMS2-A1 20160122135116 0 1 2
CMS2-A1 20160122135118 0 0 2
CMS2-A1 20160122135152 0 1 1
CMS2-A1 20160122135154 0 0 1
CMS2-A1 20160122135230 0 1 2
CMS2-A1 20160122135233 0 0 2
CMS2-A1 20160122135307 0 1 1
CMS2-A1 20160122135309 0 0 1
CMS2-A1 20160122135345 0 1 2
CMS2-A1 20160122135348 0 0 2
CMS2-A1 20160122135421 0 1 1
CMS2-A1 20160122135424 0 0 1
CMS2-A1 20160122135459 0 1 2
CMS2-A1 20160122135503 0 0 2
CMS2-A1 20160122135534 0 1 1
CMS2-A1 20160122135540 0 0 1
CMS2-A2 20160122091918 0 1 2
CMS2-A2 20160122091927 0 0 2
CMS2-A2 20160122092004 0 1 1
CMS2-A2 20160122092022 0 0 1
CMS2-A2 20160122092044 0 1 2
CMS2-A2 20160122092111 0 0 2
CMS2-A2 20160122092133 0 1 1
CMS2-A2 20160122092156 0 0 1
CMS2-A2 20160122092228 0 1 2
CMS2-A2 20160122092246 0 0 2
CMS2-A2 20160122092315 0 1 1
CMS2-A2 20160122092757 0 0 1
CMS2-A2 20160122092834 0 1 2
CMS2-A2 20160122092908 0 0 2
CMS2-A2 20160122092921 0 1 1
CMS2-A2 20160122092954 0 0 1
CMS2-A2 20160122093003 0 1 2
CMS2-A2 20160122093040 0 1 1
CMS2-A2 20160122093043 0 0 2
CMS2-A2 20160122093128 0 0 1
CMS2-A2 20160122093130 0 1 2
CMS2-A2 20160122093211 0 1 1
CMS2-A2 20160122093219 0 0 2
CMS2-A2 20160122093302 0 0 1
CMS2-A2 20160122093303 0 1 2
CMS2-A2 20160122093403 0 0 2
CMS2-A2 20160122093900 0 1 1
CMS2-A2 20160122093907 0 0 1
CMS2-A2 20160122094126 0 1 2
CMS2-A2 20160122094135 0 0 2
CMS2-A2 20160122094214 0 1 1
CMS2-A2 20160122094230 0 0 1
CMS2-A2 20160122094307 0 1 2
CMS2-A2 20160122094321 0 0 2
CMS2-A2 20160122094347 0 1 1
CMS2-A2 20160122094407 0 0 1
