,pcbid,fadd,fsadd,fblkserial,hd,hdd,ref,size,rcgx,rcgy,rcga,tcx,tcy,thmax,thave,tcx,tcy,tca,tlx,tly,ms,class,confidence
28,101633501485,10017,1,FA0210AJF400500,3,143,L1006,2.4,0.157,0.029,0.128,0.373,0.320,0.000,0.000,0.373,0.320,0.019,0.000,0.000,8.0,0,0.0
29,101633501485,10017,1,FA0210ALF463767,2,122,C112,2.28,0.113,0.303,1.027,0.587,0.333,0.000,0.000,0.587,0.333,1.156000000000006,0.023,0.504,7.0,0,0.0
30,101633501381,10021,2,FA0210AZA467043,4,144,C734,2.4,0.050,0.054,1.289,0.765,0.301,0.000,0.000,0.765,0.301,1.302,0.278,0.060,5.0,0,0.0
31,101633501381,10021,2,FA0210AZA467043,4,144,C734,2.4,0.155,0.033,1.45,0.356,0.160,0.000,0.000,0.356,0.160,1.48,0.139,0.086,5.0,0,0.0
32,101633501381,10021,2,FA0210AZA467043,6,146,C735,2.4,0.037,0.013,1.056,0.279,0.048,0.000,0.000,0.279,0.048,1.0449999999999875,0.139,0.086,2.0,0,0.0
33,101633501381,10021,2,FA0210AZA467043,6,146,C735,2.4,0.202,0.119,6.46,0.653,0.519,0.000,0.000,0.653,0.519,6.4879999999999995,0.278,0.060,2.0,0,3.6996912634397635e-32
34,101633501381,10021,2,FA0210AZA467043,6,146,C761,2.4,0.140,0.025,0.121,0.826,0.202,0.000,0.000,0.826,0.202,0.114,0.236,0.053,13.0,0,0.0
35,101633501381,10021,2,FA0210AZA467043,6,146,C761,2.4,0.217,0.034,0.599,0.417,0.226,0.000,0.000,0.417,0.226,0.623,0.181,0.090,13.0,0,0.0
36,101633501381,10021,2,FA0210AZA467043,8,148,C502,2.4,0.178,0.058,1.581,0.172,0.068,0.000,0.000,0.172,0.068,1.571,0.181,0.090,15.0,0,0.0
37,101633501381,10021,2,FA0210AZA467043,8,148,C502,2.4,0.089,0.004,3.325,0.742,0.357,0.000,0.000,0.742,0.357,3.352,0.236,0.053,15.0,0,0.0
38,101633501381,10021,2,FA0210AZA467043,8,148,C763,2.4,0.056,0.020,0.545,0.400,0.010,0.000,0.000,0.400,0.010,0.5289999999999964,0.139,0.086,1.0,0,0.0
39,101633501381,10021,2,FA0210AZA467043,8,148,C763,2.4,0.099,0.020,1.284,0.713,0.330,0.000,0.000,0.713,0.330,1.2510000000000048,0.278,0.060,1.0,0,2.5192445319585876e-35
40,101633501381,10021,2,FA0210AZA467043,14,136,C722,2.4,0.057,0.043,0.47,0.371,0.049,0.000,0.000,0.371,0.049,0.483,0.139,0.086,4.0,0,0.0
41,101633501381,10021,2,FA0210AZA467043,14,136,C722,2.4,0.132,0.053,0.413,0.790,0.484,0.000,0.000,0.790,0.484,0.409,0.278,0.060,4.0,0,0.0
42,101633501381,10021,2,FA0210AZA467043,14,136,C727,2.4,0.173,0.054,2.962,0.818,0.218,0.000,0.000,0.818,0.218,2.9579999999999984,0.236,0.053,14.0,0,0.0
43,101633501381,10021,2,FA0210AZA467043,14,136,C727,2.4,0.186,0.087,0.524,0.382,0.165,0.000,0.000,0.382,0.165,0.5370000000000061,0.181,0.090,14.0,0,0.0
