 YEP0PTD171AF|00|A|101633501485|01 |    10016 |         2 | FA0210ALF403215 |         2 |       142 | C124   |      2.4 |   -0.200 |   -0.017 |   -0.583 |   0.195 |  -0.012 |     0.000 |     0.000 |    -0.507 |     0.453 |    -0.652 |   0.000 |   0.000 | 9     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10016 |         2 | FA0210ALF403215 |        10 |       132 | C121   |      2.4 |    0.278 |   -0.007 |    1.894 |  -0.113 |  -0.022 |     0.000 |     0.000 |    -0.570 |    -0.054 |     1.812 |   0.052 |  -0.026 | 10    | 
 YEP0PTD171AF|00|A|101633501485|01 |    10016 |         2 | FA0210AWA450567 |         2 |       122 | D709   |        3 |   -0.067 |   -0.007 |   -3.153 |   0.081 |   0.196 |     0.000 |     0.000 |    -0.297 |     0.369 |    -3.282 |  -0.002 |   0.278 | 6     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10016 |         2 | FA0210AZA466800 |         9 |       111 | R872   |      0.5 |    0.094 |    0.026 |    5.841 |  -0.493 |   0.045 |    -0.011 |    -0.030 |     0.027 |     0.312 |     5.839 |  -0.527 |   0.032 | 14    | 
 YEP0PTD171AF|00|A|101633501485|01 |    10017 |         0 | FA0440ADF302147 |         3 |       113 | CN906  |   133.76 |   -0.040 |   -1.012 |   89.773 |   0.744 |  -0.046 |     0.000 |     0.000 |     0.323 |     1.498 |    -0.156 |  -0.202 |  -0.045 | 3     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10017 |         1 | FA0210ACA404014 |         1 |       121 | R405   |      0.5 |    0.089 |    0.011 |   10.902 |  -0.435 |  -0.013 |     0.037 |    -0.011 |    -0.048 |     0.259 |    10.970 |  -0.422 |  -0.119 | 1     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10017 |         1 | FA0210ACA404014 |         9 |       111 | R606   |      0.5 |    0.050 |   -0.010 |    9.418 |  -0.446 |   0.023 |     0.035 |     0.018 |    -0.114 |     0.177 |  -170.521 |  -0.422 |  -0.119 | 4     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10017 |         1 | FA0210AFF440430 |         1 |       121 | R814   |     1.28 |    0.034 |   -0.053 |   -4.520 |  -0.183 |   0.034 |     0.007 |    -0.005 |    -0.064 |     0.343 |    -4.512 |  -0.121 |   0.154 | 1     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10017 |         1 | FA0210AFF440430 |        15 |       117 | R813   |     1.28 |   -0.046 |   -0.049 |   -1.359 |  -0.131 |   0.189 |     0.025 |     0.011 |    -0.041 |     0.398 |   178.641 |  -0.121 |   0.154 | 3     | 
 YEP0PTD171AF|00|A|101633501485|01 |    10017 |         1 | FA0210AJF400500 |         3 |       143 | L1006  |      2.4 |    0.157 |    0.029 |    0.128 |   0.195 |  -0.012 |     0.000 |     0.000 |    -0.373 |     0.320 |     0.019 |   0.000 |   0.000 | 8     | 
